ya,of
na,and
wa,of
kwa,for
katika,in
ni,it is
za,of
la,no
kama,like
mwaka,year
cha,no
kuwa,to be
yake,his
au,or
hii,this
pia,too
kwenye,on
vya,of
mji,city
zaidi,more
kutoka,from
wake,his
nchi,the country
Kwa,For
watu,people
lakini,but
wakati,time
kati,medium
kwanza,first
pamoja,together
Baada,After
mara,times
hadi,until
juu,up
sana,very much
Katika,In
moja,one
miaka,years
nyingi,many
kwamba,that
huu,this one
ambayo,which
hivyo,so
sehemu,part
ilikuwa,it was
sababu,reason
kubwa,big
mnamo,on
hasa,especially
kazi,work
alikuwa,he was
wakazi,residents
baada,after
tu,only
hiyo,that
chini,below
eneo,area
Kristo,Christ
jina,name
mkuu,chief
yao,theirs
ndani,inside
kila,each
mbalimbali,various
kawaida,normal
inahusu,it's about
Makala,Article
wengi,many
nchini,in the country
upande,side
hili,this
njia,way
hali,situation
Afrika,Africa
ili,order
lugha,language
aina,type
muda,time
ambao,who
hata,even
kuna,there is
kutokana,due
Kenya,Kenya
maji,water
BK,BC
huo,that
Marekani,United States
serikali,government
Mwaka,A year
vile,such
mbili,two
tofauti,different
siku,day
huwa,always
zake,his
muhimu,important
wote,all of them
mtu,a person
lake,his
wao,they
kadhaa,several
tena,again
karibu,almost
dhidi,against
ajili,for
nyingine,the other
hizi,these
maisha,life
nafasi,space
Uingereza,England
ina,has
Mungu,God
yenye,with
una,you have
kuhusu,about
maeneo,areas
zote,all of them
mwa,of
sensa,census
vita,war
mmoja,one
sasa,now
kutumia,to use
duniani,in the world
yote,all
wengine,others
pekee,only
karne,century
Hata,Even
tatu,three
Wakati,Time
mjini,in the city
mkubwa,big
bila,without
mpya,new
Mji,City
tangu,since
pili,the second
baadaye,later on
ambapo,where
kabisa,absolutely
huko,there
mujibu,according to
kuliko,than
dunia,the world
kufanya,to do
wanaoishi,living
Ulaya,Europe
wapatao,about
kiasi,volume
nje,out
albamu,album
idadi,number
mwisho,the end
si,not
walikuwa,they were
biashara,business
watoto,children
filamu,the film
kabla,before
iliyofanyika,held
tarehe,the date
habari,information
Kuna,There is
Ni,It is
wenye,have
The,The
ambazo,which
milioni,million
kuu,main
shule,school
akiwa,being
haya,these
mto,the river
ambaye,who
wimbo,song
mfano,example
Hii,This
Jina,Name
zao,theirs
kusini,the south
mengi,a lot
rangi,color
inaweza,it can
Lakini,But
Kusini,South
Pia,Also
asili,nature
matumizi,consumption
kipindi,period
awali,originally
hivi,like this
kupata,get
fulani,certain
utawala,administration
baadhi,some
mengine,others
bora,better
chake,his
familia,family
Kanisa,Church
muziki,music
Historia,History
kaskazini,the north
nyimbo,songs
yaani,ie
kundi,group
msingi,base
bado,not yet
hilo,that
kiwango,standard
kupitia,through
mwingine,another
binadamu,human
uwezo,ability
leo,today
maarufu,popular
hayo,that
nguvu,strength
sheria,the law
hapo,there
jamii,society
yeye,he
ndege,bird
mfumo,system
kampuni,company
of,of
rais,the president
ugonjwa,illness
mpaka,border
umri,age
ikiwa,if
uhuru,freedom
dawa,medicine
wanyama,animals
Ujerumani,Germany
maana,meaning
mahali,place
Tangu,Since
jumla,total
damu,blood
kimataifa,international
mfalme,king
jinsi,how
ndogo,small
mwenye,owner
mazingira,environment
neno,word
mabadiliko,changes
Chuo,College
Mashariki,East
rasmi,officially
mrefu,tall
hizo,those
jimbo,state
ulikuwa,you were
mwili,the body
sawa,okay
Kati,Medium
shirika,organization
historia,history
mashariki,the east
ingawa,though
kutoa,give
ambalo,which
chakula,food
hiki,This
Kiingereza,English
lilikuwa,it was
mambo,things
mwezi,month
nyumba,house
huku,here
mtoto,child
ardhi,land
Tanzania,Tanzania
mbali,away
joto,heat
magharibi,the west
Yesu,Jesus
Yeye,He
kuanzia,starting from
s,s
uchaguzi,election
elimu,education
hapa,here
kidogo,a little
namna,manner
kwenda,to go
mwenyewe,himself
timu,the team
makubwa,large
Ufaransa,France
utamaduni,culture
zamani,in the past
kifo,death
Mnamo,In the
wenyewe,themselves
Kama,Like
tabia,behavior
jeshi,army
kale,ancient
maneno,words
huduma,services
chama,party
matatizo,problems
takriban,approx
iko,is there
picha,picture
miji,cities
shughuli,activity
Watu,People
bahari,the sea
wana,they have
bali,but
matokeo,results
Mkuu,Chief
nne,four
wanafunzi,students
haki,right
kumi,ten
imani,faith
ambako,where
kusababisha,cause
hatari,dangerous
Hivyo,So
kikubwa,big
kisiwa,the island
bidhaa,product
kisasa,modern
Mara,Immediately
mdogo,younger
moyo,the heart
pa,pa
pwani,the beach
Kikuu,University
umbo,shape
utafiti,research
Kaskazini,North
matibabu,treatment
kote,around
kufikia,reach
sauti,sound
mbinu,method
haraka,quickly
m,m
mita,meters
hawa,these
mbele,ahead
wiki,week
kitabu,book
kuzuia,prevent
vitabu,books
asilimia,percentage
Hasa,Exactly
hewa,air
mechi,match
ndio,yes
Rais,President
Sehemu,Part
tar.,tar.
ana,he has
ile,that
kwake,to him
lazima,must
mwanzo,the beginning
sifa,praise
makuu,major
uchumi,the economy
wala,neither
kilomita,kilometers
Kiswahili,Kiswahili
lenye,containing
Magharibi,West
ndiyo,yes
wanawake,women
akawa,he became
taifa,the nation
Baadaye,Later on
maendeleo,development
msimu,the season
vizuri,well
kanuni,principle
maalum,special
pombe,alcohol
Wakristo,Christians
makao,residence
masomo,lessons
Roma,Rome
kitaifa,nationally
Baadhi,Some
kanisa,the church
alama,score
cheo,title
tayari,already
ule,eat
Umoja,Unity
Albamu,Album
hatua,action
Misri,Egypt
Tuzo,Award
yoyote,any
kali,strong
nyuma,behind
walio,those who
wawili,two
Dunia,The world
hakuna,there is none
uhusiano,relationship
Vita,War
Wimbo,Song
Amerika,America
kisiasa,politically
mfululizo,series
